Modelo;Edificio;Variables;pred;n_obs_antes;CVRMSE;R2;RMSE
LSTM;A;1;60T;1;9.68576405257847;0.9264599137729416;0.2873663466599474
LSTM;A;2;60T;1;49.34348084181271;-0.908604438791007;1.463968742581751
LSTM;A;1;60T;2;12.16337633029241;0.8841319402583425;0.3607830358564685
LSTM;A;2;60T;2;49.099862504113496;-0.8880609012541671;1.4563717321030547
LSTM;A;1;60T;4;12.785981452252356;0.8721290730734806;0.3789920325583961
LSTM;A;2;60T;4;64.06749378604466;-2.2105478280218103;1.8990383946332223
LSTM;A;1;120T;1;10.569491521109889;0.8757541394226386;0.6208904040717743
LSTM;A;2;120T;1;11.447372983545892;0.8542577714701347;0.6724603565950696
LSTM;A;1;120T;2;9.389256451325911;0.9015673244349536;0.5508934504287656
LSTM;A;2;120T;2;16.636300109510294;0.6909773019092167;0.9760973956997796
LSTM;A;1;120T;4;11.149158128034394;0.8610828585819686;0.6530509637687799
LSTM;A;2;120T;4;21.99036668501052;0.4595735080100004;1.2880640845127929
LSTM;B;1;60T;1;7.85857468245746;0.98128671038439;0.2333021041316023
LSTM;B;2;60T;1;48.19240086041192;0.2962479147066789;1.4307159985367497
LSTM;B;1;60T;2;6.848814618658912;0.9857572682343634;0.2034605045462397
LSTM;B;2;60T;2;45.09928963339667;0.3824076956085034;1.3397828287670388
LSTM;B;1;60T;4;6.756418509452984;0.986081969461606;0.2009824268475651
LSTM;B;2;60T;4;52.67643888286522;0.1539860701883223;1.566960144572638
LSTM;B;1;120T;1;9.13017487828908;0.9724841055887457;0.5414940292934723
LSTM;B;2;120T;1;55.27171422206985;-0.0083964556839331;3.2780646196860617
LSTM;B;1;120T;2;15.152464129461018;0.9238825653132048;0.8998572669456211
LSTM;B;2;120T;2;37.32697789506511;0.5380837155207092;2.216732013025243
LSTM;B;1;120T;4;9.076818471657898;0.9724516342620833;0.5404608157479576
LSTM;B;2;120T;4;39.26114460025905;0.4845880858363838;2.3377255261973766
LSTM;C;1;60T;1;37.28998964764191;0.9238109785588656;0.670597792874664
LSTM;C;2;60T;1;80.57862991714163;0.6442477728817918;1.4490712356289588
LSTM;C;1;60T;2;28.07103210113182;0.9568599969519078;0.5048217170630221
LSTM;C;2;60T;2;95.82949391651768;0.4972387480892858;1.723371249405053
LSTM;C;1;60T;4;28.998638884319504;0.9539927811042224;0.5217464350391691
LSTM;C;2;60T;4;86.96828330900637;0.5861980349837695;1.5647421232065644
LSTM;C;1;120T;1;31.710600406849355;0.8523551899024534;0.8784812907275018
LSTM;C;2;120T;1;47.41401502478989;0.6699173315850491;1.3135142376097635
LSTM;C;1;120T;2;28.687236341780046;0.8794382847067647;0.7945323187677
LSTM;C;2;120T;2;52.24760356481002;0.6000877141106736;1.447068972271318
LSTM;C;1;120T;4;35.91028312641248;0.811547952214882;0.9951007636771192
LSTM;C;2;120T;4;67.74998047582592;0.3292177664068537;1.8774025555097176
GRU;A;1;60T;1;9.081942832422245;0.935343246878418;0.2694516114743577
GRU;A;2;60T;1;61.896358450707964;-2.0032159508644485;1.836399307579603
GRU;A;1;60T;2;10.18715957881183;0.918724122799614;0.3021656372207041
GRU;A;2;60T;2;43.25465165545014;-0.4652815611600263;1.2829944676053744
GRU;A;1;60T;4;10.0333344276426;0.9212602104609586;0.2974002287012976
GRU;A;2;60T;4;65.48755788262679;-2.354449543852524;1.9411308206496904
GRU;A;1;120T;1;10.274653396541424;0.8825891857587488;0.6035705394469284
GRU;A;2;120T;1;14.518604829518308;0.7655644287363608;0.8528756942709993
GRU;A;1;120T;2;10.00331994374916;0.8882711814464658;0.5869222411937266
GRU;A;2;120T;2;17.921091704600517;0.6414036935310083;1.0514796454626114
GRU;A;1;120T;4;9.918403540340435;0.8900601257505789;0.580960725167232
GRU;A;2;120T;4;18.340286888373708;0.624089949361456;1.074264253023017
GRU;B;1;60T;1;8.051499516924274;0.9803566248050906;0.2390295765600088
GRU;B;2;60T;1;36.9439469216126;0.5864298811548556;1.0967765657274593
GRU;B;1;60T;2;6.947481765516465;0.9853439376340222;0.2063916493646559
GRU;B;2;60T;2;50.3070492634812;0.2315419531117467;1.494491849362491
GRU;B;1;60T;4;6.660707610967727;0.9864734999574256;0.1981353254392651
GRU;B;2;60T;4;56.81909352657208;0.0156868191736392;1.6901912296095758
GRU;B;1;120T;1;9.181798334249114;0.9721720674621918;0.5445557223657841
GRU;B;2;120T;1;55.33314927925884;-0.0106393867857557;3.2817082209424018
