0;1;2;3;4;5;6;7;8;9;10
26.1;14.8;82.2;85.6;0.0;0.0;0.0;11.8;1.0;0.0;0.0
26.4;15.0;81.7;99.0;0.0;0.0;0.0;11.9;1.0;0.0;0.0
26.5;15.4;79.8;120.2;0.3;196.1;0.0;11.9;1.0;0.0;0.0
26.6;15.9;76.1;144.0;0.2;196.3;0.0;11.7;1.0;0.0;0.0
26.7;16.4;73.4;123.2;0.1;273.2;0.0;11.6;1.0;0.0;0.0
29.0;31.6;44.4;1027.0;2.1;123.1;0.0;18.0;1.0;0.0;0.0
29.4;31.5;46.5;1085.0;2.8;92.9;0.0;18.6;1.0;0.0;0.0
29.4;30.2;46.5;905.0;4.4;82.3;0.0;17.4;1.0;0.0;0.0
29.4;26.6;53.1;85.2;4.2;62.2;0.0;16.3;1.0;0.0;0.0
30.0;24.3;62.5;42.4;4.4;55.0;2.8;16.7;1.0;0.0;0.0
30.3;21.2;78.5;97.2;3.1;93.1;4.6;17.3;1.0;0.0;0.0
30.4;20.8;83.2;229.0;1.3;122.0;0.2;17.9;1.0;0.0;0.0
29.2;33.5;27.6;650.0;2.1;99.1;0.0;12.2;0.0;1.0;0.0
29.5;33.6;25.8;614.7;1.9;149.4;0.0;11.3;0.0;1.0;0.0
29.9;33.5;25.4;526.3;1.8;109.4;0.0;11.0;0.0;1.0;0.0
30.2;33.6;26.9;515.8;1.6;84.7;0.0;12.0;0.0;1.0;0.0
30.2;33.3;26.8;546.3;2.1;97.1;0.0;11.6;0.0;1.0;0.0
30.4;32.9;26.7;482.0;2.1;97.2;0.0;11.3;0.0;1.0;0.0
30.5;33.0;25.7;432.7;2.0;130.7;0.0;10.8;0.0;1.0;0.0
30.7;26.4;58.6;716.6;0.9;44.5;0.0;17.6;1.0;0.0;0.0
30.9;26.7;57.9;752.5;1.3;54.8;0.0;17.8;1.0;0.0;0.0
30.8;26.8;57.5;773.4;1.4;25.3;0.0;17.7;1.0;0.0;0.0
30.6;27.3;56.0;791.8;1.0;36.6;0.0;17.8;1.0;0.0;0.0
30.5;27.7;54.7;813.0;1.2;50.3;0.0;17.7;1.0;0.0;0.0
30.5;27.7;53.9;832.0;1.2;53.5;0.0;17.6;1.0;0.0;0.0
30.6;28.1;53.0;842.0;1.2;28.2;0.0;17.7;1.0;0.0;0.0
27.0;30.3;26.9;864.0;1.5;30.2;0.0;9.2;1.0;0.0;0.0
26.8;30.6;26.5;880.0;1.3;59.8;0.0;9.2;1.0;0.0;0.0
27.7;30.7;25.7;898.0;1.9;34.2;0.0;8.9;1.0;0.0;0.0
28.2;30.8;25.3;911.0;2.1;44.3;0.0;8.7;1.0;0.0;0.0
28.9;31.2;24.9;919.0;1.8;20.5;0.0;8.8;1.0;0.0;0.0
29.3;31.6;24.4;929.0;1.9;37.1;0.0;8.8;1.0;0.0;0.0
29.5;31.6;24.5;934.0;2.3;36.2;0.0;8.9;1.0;0.0;0.0
30.3;39.4;5.9;140.5;2.8;297.5;0.0;-5.1;0.0;1.0;0.0
30.2;39.9;5.7;274.3;2.8;302.0;0.0;-5.2;0.0;1.0;0.0
30.0;39.7;4.9;242.0;3.2;303.5;0.0;-7.1;0.0;1.0;0.0
29.8;39.5;4.7;214.3;2.4;292.7;0.0;-7.9;0.0;1.0;0.0
30.0;39.3;4.2;175.1;2.9;294.6;0.0;-9.6;0.0;1.0;0.0
30.0;39.0;4.4;140.0;2.5;281.3;0.0;-9.1;0.0;1.0;0.0
30.1;38.7;5.6;110.1;2.1;293.7;0.0;-6.4;0.0;1.0;0.0
30.4;29.1;46.1;154.6;1.8;59.0;0.0;16.4;0.0;1.0;0.0
30.3;29.1;46.2;111.9;1.7;54.8;0.0;16.4;0.0;1.0;0.0
30.8;29.0;46.5;126.0;1.7;72.4;0.0;16.4;0.0;1.0;0.0
30.9;29.0;46.7;148.5;1.4;76.7;0.0;16.5;0.0;1.0;0.0
31.1;28.7;47.7;112.2;2.1;74.0;0.0;16.5;0.0;1.0;0.0
30.7;28.6;49.6;99.1;2.5;59.7;0.0;17.0;0.0;1.0;0.0
31.1;28.1;53.7;47.0;2.4;53.4;0.0;17.9;0.0;1.0;0.0
28.3;10.4;36.2;296.5;0.4;164.8;0.0;-3.9;1.0;0.0;0.0
28.2;11.2;34.4;323.2;0.5;215.7;0.0;-3.9;1.0;0.0;0.0
28.2;11.0;34.0;350.0;0.7;229.0;0.0;-4.3;1.0;0.0;0.0
27.9;11.0;33.6;374.2;0.5;213.1;0.0;-4.4;1.0;0.0;0.0
27.6;11.7;33.2;397.3;0.6;272.5;0.0;-4.0;1.0;0.0;0.0
27.4;11.6;32.7;420.4;0.8;246.9;0.0;-4.3;1.0;0.0;0.0
27.2;11.9;32.6;440.1;0.6;270.4;0.0;-4.1;1.0;0.0;0.0
25.5;26.4;41.6;259.6;1.2;69.2;0.0;12.3;0.0;1.0;0.0
26.3;26.2;42.2;174.7;1.2;48.1;0.0;12.4;0.0;1.0;0.0
27.1;26.2;42.6;209.9;1.3;52.0;0.0;12.5;0.0;1.0;0.0
27.5;26.2;42.1;150.6;0.9;58.5;0.0;12.4;0.0;1.0;0.0
27.9;26.2;41.6;122.2;1.5;50.6;0.0;12.1;0.0;1.0;0.0
28.2;26.0;40.8;179.0;1.7;73.1;0.0;11.7;0.0;1.0;0.0
28.5;26.1;40.8;221.8;1.6;80.1;0.0;11.7;0.0;1.0;0.0
30.4;23.6;59.1;318.9;0.7;334.4;0.0;15.2;1.0;0.0;0.0
30.5;24.0;58.7;427.8;0.6;355.3;0.0;15.4;1.0;0.0;0.0
