Modelo;Variables;steps_pred;n_obs_despues;n_obs_antes;CVRMSE;R2;RMSE
BiLSTM;2;6;6;3;1.806551594504429;0.9489578656760904;0.5073559216516472
BiLSTM;3;6;6;3;1.4181888778069207;0.9690650164564056;0.4052650734683358
BiLSTM;1;6;12;3;1.4849713477198727;0.9554142993095472;0.4216603641319981
BiLSTM;2;6;12;3;1.1859087242529849;0.9760880568372104;0.3349116043653786
BiLSTM;3;6;12;3;1.489987502086782;0.969531825486726;0.4171054457925047
BiLSTM;1;6;6;6;1.0875658387631204;0.9758532698621888;0.3101957874762645
BiLSTM;2;6;6;6;1.448901964057359;0.9671325838746482;0.4076991641640605
BiLSTM;3;6;6;6;0.9774363545852351;0.985509710809036;0.2746247071972159
BiLSTM;1;6;12;6;1.0334030986931844;0.9793270646671752;0.294743149229127
BiLSTM;2;6;12;6;1.3050948579057535;0.9717541535929674;0.3603243375180947
BiLSTM;3;6;12;6;1.2833166607000674;0.9785185339836682;0.3590434835158633
CNN-LSTM;1;6;6;1;1.211403104657085;0.98359794819833;0.3382656950831054
CNN-LSTM;2;6;6;1;1.2730925014732442;0.9784252154991324;0.3552154681335532
CNN-LSTM;3;6;6;1;1.2366044417156634;0.977083017947378;0.3500471000402181
CNN-LSTM;1;6;12;1;1.4524306843732742;0.9745080650551796;0.4071996733811312
CNN-LSTM;2;6;12;1;1.172229407118376;0.982778276712887;0.3298899276695833
CNN-LSTM;3;6;12;1;1.5236718746447353;0.9690076611418132;0.4287251372228462
CNN-LSTM;1;6;6;3;1.327826574003183;0.9791866084108768;0.3724624169152013
CNN-LSTM;2;6;6;3;1.430890212685462;0.977881157301094;0.4001545368720115
CNN-LSTM;3;6;6;3;1.0382593733122043;0.9850477196243778;0.2893117107276112
CNN-LSTM;1;6;12;3;1.0869507653056183;0.9785963698621352;0.3088912787819807
CNN-LSTM;2;6;12;3;1.2991654727386135;0.9778521285442148;0.3671056688041473
CNN-LSTM;3;6;12;3;1.233298132245155;0.978166471992754;0.3462027729192256
CNN-LSTM;1;6;6;6;1.1444602869738882;0.979501519208053;0.3264186940321616
CNN-LSTM;2;6;6;6;1.702034691501248;0.9448689884890183;0.4829084420250078
CNN-LSTM;3;6;6;6;1.4262421310939952;0.951301322557497;0.3973640750120787
CNN-LSTM;1;6;12;6;1.7535037667046436;0.956109453766222;0.4963750631777599
CNN-LSTM;2;6;12;6;1.1543691928746866;0.9746016767781692;0.3264513323035062
CNN-LSTM;3;6;12;6;1.427988773576553;0.9709693798548132;0.4004450740420323
CNN-LSTM;1;12;12;1;1.1314465704944372;0.9857654723522398;0.3189347643397768
CNN-LSTM;2;12;12;1;1.0655982553127747;0.984906905300478;0.30795240301088
CNN-LSTM;3;12;12;1;1.0834897595568465;0.985019430022017;0.306893820228843
CNN-LSTM;1;12;12;3;1.0174941381567624;0.9851999231841;0.2891520494559099
CNN-LSTM;2;12;12;3;0.87267457296787;0.9900760077347784;0.2482427866968667
CNN-LSTM;3;12;12;3;1.054514865977299;0.9880014926720994;0.2947300702220793
CNN-LSTM;1;12;12;6;1.024803232409344;0.980167946069381;0.2932265693325329
CNN-LSTM;2;12;12;6;1.0281514253855046;0.9851511648149992;0.2875047755905929
CNN-LSTM;3;12;12;6;1.296485328755697;0.9739102821374632;0.3671947897213395
BiLSTM;1;12;12;1;1.002465251343094;0.9859632804424816;0.2833592049241009
BiLSTM;2;12;12;1;1.0951286193660736;0.9876026267020886;0.3093540774958241
